firm_id;is_synthetic;province;sector;nace_code;size_band;employee_band;operating_since;main_product_group;primary_packaging_material;export_orientation;import_dependency;data_maturity_score;bom_coverage_ratio;bom_matrix_vintage_year;sector_code_error_flag;data_source_type;generation_method;source_ids
SYN-FRM-000020;True;Adana;gida_icecek;C10-C11;kucuk;10-49;2018;Gida ve icecek urunleri;plastik;0.5681;0.2069;0.7483;0.7084;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000021;True;Ankara;tekstil;C13-C14;kucuk;10-49;2009;Tekstil ve hazir giyim;plastik;0.7608;0.1866;0.6494;0.5295;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000022;True;Manisa;otomotiv_yan_sanayi;C29.3;kucuk;10-49;2022;Otomotiv yan sanayi parcalari;metal;0.6925;0.3565;0.8359;0.8964;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000023;True;Istanbul;ev_temizlik;C20.41;buyuk;250-5000;1988;Ev temizlik urunleri;plastik;0.2245;0.1123;0.8765;0.6846;2020;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000024;True;Antalya;otomotiv_yan_sanayi;C29.3;kucuk;10-49;2019;Otomotiv yan sanayi parcalari;plastik;0.5073;0.4701;0.3101;0.1525;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000025;True;Antalya;kimya_boya;C20.3;buyuk;250-5000;1996;Kimyasal urunler ve boya;kompozit;0.4623;0.2649;0.8205;0.7596;2019;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000026;True;Izmir;gida_icecek;C10-C11;kucuk;10-49;2020;Gida ve icecek urunleri;metal;0.607;0.3806;0.5343;0.7632;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000027;True;Corum;tekstil;C13-C14;mikro;1-9;1993;Tekstil ve hazir giyim;ahsap;0.7972;0.1746;0.5415;0.5647;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000028;True;Eskisehir;tekstil;C13-C14;buyuk;250-5000;2025;Tekstil ve hazir giyim;kagit_karton;0.4131;0.0354;0.4307;0.3801;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000029;True;Istanbul;kozmetik;C20.42;mikro;1-9;2013;Kozmetik ve kisisel bakim;plastik;0.5868;0.2213;0.3809;0.7283;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000030;True;Konya;tekstil;C13-C14;buyuk;250-5000;2005;Tekstil ve hazir giyim;plastik;0.8931;0.2932;0.9833;0.6904;2020;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000031;True;Ankara;gida_icecek;C10-C11;kucuk;10-49;2003;Gida ve icecek urunleri;kompozit;0.2847;0.2531;0.5959;0.266;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000032;True;Istanbul;gida_icecek;C10-C11;kucuk;10-49;2019;Gida ve icecek urunleri;metal;0.3652;0.2472;0.7792;0.7474;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000033;True;Antalya;gida_icecek;C10-C11;orta;50-249;2016;Gida ve icecek urunleri;cam;0.0111;0.246;0.4768;0.4953;2020;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000034;True;Balikesir;ev_temizlik;C20.41;kucuk;10-49;1989;Ev temizlik urunleri;ahsap;0.6106;0.0825;0.852;0.793;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000035;True;Antalya;ilac;C21;kucuk;10-49;1987;Ilac ve tibbi urunler;kagit_karton;0.3197;0.4178;0.1043;0.2626;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000036;True;Izmir;kozmetik;C20.42;orta;50-249;2014;Kozmetik ve kisisel bakim;plastik;0.3094;0.3891;0.9462;0.3369;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000037;True;Antalya;kozmetik;C20.42;orta;50-249;2023;Kozmetik ve kisisel bakim;kagit_karton;0.34;0.419;0.5287;0.6181;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000038;True;Hatay;kozmetik;C20.42;mikro;1-9;2017;Kozmetik ve kisisel bakim;plastik;0.3845;0.1768;0.424;0.5847;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000039;True;Kocaeli;gida_icecek;C10-C11;kucuk;10-49;1988;Gida ve icecek urunleri;cam;0.0558;0.1901;0.7858;0.5169;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000040;True;Antalya;tekstil;C13-C14;orta;50-249;2017;Tekstil ve hazir giyim;kagit_karton;0.7352;0.185;0.8694;0.724;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000041;True;Bursa;ilac;C21;kucuk;10-49;1991;Ilac ve tibbi urunler;cam;0.5117;0.2463;0.5509;0.5846;2021;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000042;True;Izmir;kimya_boya;C20.3;mikro;1-9;2016;Kimyasal urunler ve boya;cam;0.7754;0.3889;0.4122;0.5854;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000043;True;Adana;elektronik;C26-C27;orta;50-249;1994;Elektrikli ve elektronik esya;kagit_karton;0.2779;0.3901;0.8995;0.6704;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000044;True;Bursa;kimya_boya;C20.3;kucuk;10-49;2010;Kimyasal urunler ve boya;metal;0.3157;0.6357;0.5234;0.3191;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000045;True;Corum;tekstil;C13-C14;mikro;1-9;1995;Tekstil ve hazir giyim;kagit_karton;0.5561;0.1036;0.2419;0.3665;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000046;True;Izmir;kimya_boya;C20.3;mikro;1-9;2006;Kimyasal urunler ve boya;ahsap;0.4512;0.3931;0.306;0.6149;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000047;True;Kocaeli;gida_icecek;C10-C11;orta;50-249;1991;Gida ve icecek urunleri;ahsap;0.5723;0.2299;0.5364;0.1654;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000048;True;Konya;otomotiv_yan_sanayi;C29.3;kucuk;10-49;1999;Otomotiv yan sanayi parcalari;plastik;0.6843;0.2853;0.3383;0.5809;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000049;True;Konya;kozmetik;C20.42;mikro;1-9;2021;Kozmetik ve kisisel bakim;cam;0.1637;0.2547;0.5059;0.5652;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000050;True;Bursa;kozmetik;C20.42;kucuk;10-49;2015;Kozmetik ve kisisel bakim;plastik;0.527;0.2281;0.7111;0.7287;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000051;True;Istanbul;elektronik;C26-C27;kucuk;10-49;2007;Elektrikli ve elektronik esya;kagit_karton;0.367;0.5083;0.7015;0.2132;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000052;True;Antalya;kozmetik;C20.42;orta;50-249;2003;Kozmetik ve kisisel bakim;plastik;0.2156;0.1859;0.6401;0.6988;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000053;True;Manisa;kozmetik;C20.42;buyuk;250-5000;2022;Kozmetik ve kisisel bakim;plastik;0.2119;0.3265;0.8969;0.7175;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000054;True;Denizli;tekstil;C13-C14;kucuk;10-49;1991;Tekstil ve hazir giyim;kagit_karton;0.6887;0.1427;0.7143;0.8151;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000055;True;Kocaeli;kimya_boya;C20.3;kucuk;10-49;2018;Kimyasal urunler ve boya;metal;0.2601;0.6258;0.4498;0.6254;2020;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000056;True;Izmir;gida_icecek;C10-C11;buyuk;250-5000;1994;Gida ve icecek urunleri;plastik;0.4258;0.3639;0.99;0.7185;2021;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000057;True;Istanbul;kimya_boya;C20.3;kucuk;10-49;2003;Kimyasal urunler ve boya;cam;0.2095;0.2137;0.4022;0.7129;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000058;True;Kayseri;elektronik;C26-C27;mikro;1-9;2023;Elektrikli ve elektronik esya;ahsap;0.4836;0.7107;0.6299;0.8087;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000059;True;Izmir;tekstil;C13-C14;kucuk;10-49;2008;Tekstil ve hazir giyim;plastik;0.6862;0.0796;0.8845;1.0;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000060;True;Eskisehir;elektronik;C26-C27;mikro;1-9;1993;Elektrikli ve elektronik esya;kagit_karton;0.4233;0.463;0.5399;0.561;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000061;True;Adana;kimya_boya;C20.3;mikro;1-9;2012;Kimyasal urunler ve boya;kagit_karton;0.3245;0.163;0.5147;0.2578;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000062;True;Eskisehir;gida_icecek;C10-C11;orta;50-249;1992;Gida ve icecek urunleri;plastik;0.1581;0.5356;0.3036;0.5571;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000063;True;Ankara;gida_icecek;C10-C11;kucuk;10-49;1997;Gida ve icecek urunleri;kagit_karton;0.2867;0.1532;0.4276;0.2297;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000064;True;Tekirdag;ev_temizlik;C20.41;mikro;1-9;2009;Ev temizlik urunleri;plastik;0.2354;0.2707;0.02;0.2249;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000065;True;Tekirdag;tekstil;C13-C14;buyuk;250-5000;1988;Tekstil ve hazir giyim;kagit_karton;0.5969;0.3566;0.6383;0.6905;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000066;True;Istanbul;tekstil;C13-C14;kucuk;10-49;2020;Tekstil ve hazir giyim;kompozit;0.9142;0.4659;0.4594;0.619;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000067;True;Sakarya;gida_icecek;C10-C11;kucuk;10-49;2015;Gida ve icecek urunleri;kagit_karton;0.1495;0.3614;0.2381;0.2973;2020;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000068;True;Kocaeli;ev_temizlik;C20.41;kucuk;10-49;2023;Ev temizlik urunleri;plastik;0.1338;0.3971;0.4097;0.628;2021;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000069;True;Tekirdag;gida_icecek;C10-C11;kucuk;10-49;2014;Gida ve icecek urunleri;plastik;0.1704;0.12;0.7257;0.3879;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000070;True;Istanbul;gida_icecek;C10-C11;mikro;1-9;1996;Gida ve icecek urunleri;cam;0.5958;0.046;0.3997;0.5485;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000071;True;Mersin;tekstil;C13-C14;mikro;1-9;1988;Tekstil ve hazir giyim;plastik;0.6932;0.1263;0.512;0.7188;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000072;True;Bursa;kozmetik;C20.42;kucuk;10-49;2023;Kozmetik ve kisisel bakim;cam;0.4036;0.0197;0.4603;0.6752;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000073;True;Antalya;otomotiv_yan_sanayi;C29.3;kucuk;10-49;2009;Otomotiv yan sanayi parcalari;kompozit;0.7231;0.2537;0.6207;0.5042;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000074;True;Izmir;kimya_boya;C20.3;mikro;1-9;1995;Kimyasal urunler ve boya;plastik;0.1449;0.4451;0.3398;0.5429;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000075;True;Kocaeli;ilac;C21;mikro;1-9;2000;Ilac ve tibbi urunler;kagit_karton;0.0525;0.587;0.2399;0.1106;2025;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000076;True;Manisa;ilac;C21;orta;50-249;1988;Ilac ve tibbi urunler;kagit_karton;0.3141;0.4416;0.9158;0.9779;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000077;True;Tekirdag;tekstil;C13-C14;kucuk;10-49;1999;Tekstil ve hazir giyim;kagit_karton;0.7716;0.1481;0.2453;0.4221;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000078;True;Izmir;tekstil;C13-C14;orta;50-249;1990;Tekstil ve hazir giyim;kagit_karton;0.6237;0.3332;0.3679;0.2509;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000079;True;Istanbul;ev_temizlik;C20.41;kucuk;10-49;2004;Ev temizlik urunleri;plastik;0.1732;0.4463;0.7834;0.9933;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000080;True;Kocaeli;gida_icecek;C10-C11;orta;50-249;2021;Gida ve icecek urunleri;plastik;0.2299;0.3727;0.4258;0.7608;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000081;True;Istanbul;ev_temizlik;C20.41;buyuk;250-5000;1996;Ev temizlik urunleri;plastik;0.0536;0.0878;0.3976;0.2537;2024;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000082;True;Konya;kimya_boya;C20.3;mikro;1-9;1995;Kimyasal urunler ve boya;plastik;0.6973;0.4357;0.2752;0.2364;2021;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000083;True;Ankara;gida_icecek;C10-C11;kucuk;10-49;2023;Gida ve icecek urunleri;kompozit;0.1442;0.2153;0.7634;0.7411;2023;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000084;True;Hatay;gida_icecek;C10-C11;kucuk;10-49;1997;Gida ve icecek urunleri;plastik;0.3809;0.056;0.1967;0.3505;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000085;True;Istanbul;elektronik;C26-C27;kucuk;10-49;2025;Elektrikli ve elektronik esya;kompozit;0.2609;0.5391;0.3594;0.5479;2026;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
SYN-FRM-000086;True;Konya;otomotiv_yan_sanayi;C29.3;kucuk;10-49;2012;Otomotiv yan sanayi parcalari;ahsap;0.8189;0.676;0.1959;0.3967;2021;False;synthetic;"config.SECTORS + config.SIZE_BANDS ile parametrize log-normal olcek; Beta dagilimli dis ticaret ve veri olgunlugu";SYN-GEN-01
