observation_id;firm_id;period;year;quarter;split;sector;size_band;province;nace_code;main_product_group;gtip6_context_primary;production_qty;production_unit;import_qty;export_qty;return_qty;correction_qty;exemption_flag;exempt_share;domestic_supply_qty_derived;declared_packaging_tonnage;declared_ton_plastik;declared_ton_kagit_karton;declared_ton_cam;declared_ton_metal;declared_ton_kompozit;declared_ton_ahsap;bom_expected_tonnage_observable;bom_coverage_ratio;weight_matrix_vintage_year;external_evidence_tonnage;external_evidence_source;gekap_rate_year;gekap_rate_status;gekap_amount_try;data_quality_score;data_freshness_days;missing_field_count;missing_fields;data_confidence_level;data_source_type;generation_method;source_ids
SYN-FRM-000001-2025Q3;SYN-FRM-000001;2025Q3;2025;3;valid;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;43403.42;birim/ceyrek (sentetik urun adedi);11606.31;11746.01;526.78;0.0;True;0.1944;42736.94;50.031;0.4437;1.8092;4.515;0.37;1.3842;41.5088;27.6902;0.5063;2025;49.6372;ERP / onceki denetim kaydi (sentetik);2025;official_verified;31357.97;0.8873;102;0;;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2025Q4;SYN-FRM-000001;2025Q4;2025;4;valid;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;;birim/ceyrek (sentetik urun adedi);10606.54;7025.87;45.18;0.0;True;0.2962;;36.7795;0.0;0.0516;3.6115;0.1283;0.1521;32.8358;19.4722;0.5063;2025;;;2025;official_verified;11769.83;0.6206;164;2;"production_qty;external_evidence_tonnage";orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2026Q1;SYN-FRM-000001;2026Q1;2026;1;test;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;37002.13;birim/ceyrek (sentetik urun adedi);11996.75;6236.43;680.77;0.0;False;0.0;42081.68;84.7605;0.7158;0.2963;7.1298;0.0001;0.0001;76.6184;33.617;0.5063;2025;;;2026;official_verified;29518.11;0.6566;290;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000001-2026Q2;SYN-FRM-000001;2026Q2;2026;2;test;gida_icecek;kucuk;Izmir;C10-C11;Gida ve icecek urunleri;plastik;60964.9;birim/ceyrek (sentetik urun adedi);23920.57;14390.08;646.73;0.0;False;0.0;69848.66;131.5229;0.6051;1.7541;11.5062;1.7285;2.5043;113.4248;56.1;0.5063;2025;;;2026;official_verified;81856.44;0.7456;92;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2023Q1;SYN-FRM-000002;2023Q1;2023;1;history;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;60581.7;birim/ceyrek (sentetik urun adedi);7449.74;17255.35;444.43;0.0;False;0.0;50331.65;54.7621;0.0505;2.1974;2.6868;0.1025;0.4109;49.314;38.187;0.7902;2025;;;2023;history_not_priced;;0.6752;394;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2023Q2;SYN-FRM-000002;2023Q2;2023;2;history;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;73636.25;birim/ceyrek (sentetik urun adedi);;;2717.74;0.0;False;0.0;;53.0919;0.6375;1.7347;2.9046;0.2509;0.0001;47.5642;46.8532;0.7902;2025;55.2632;ERP / onceki denetim kaydi (sentetik);2023;history_not_priced;;0.7313;6;2;"import_qty;export_qty";orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2023Q3;SYN-FRM-000002;2023Q3;2023;3;history;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;57151.18;birim/ceyrek (sentetik urun adedi);7412.32;18711.78;1746.94;0.0;False;0.0;44104.78;43.2661;0.5969;1.208;1.6624;1.0207;0.0;38.778;36.15;0.7902;2025;;;2023;history_not_priced;;0.7584;399;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2023Q4;SYN-FRM-000002;2023Q4;2023;4;history;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;43371.54;birim/ceyrek (sentetik urun adedi);5058.78;12965.32;61.43;0.0;False;0.0;35403.57;26.3598;0.0;0.4821;1.417;0.8175;0.0;23.6431;26.9944;0.7902;2025;;;2023;history_not_priced;;0.8263;24;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2024Q1;SYN-FRM-000002;2024Q1;2024;1;train;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;55931.99;birim/ceyrek (sentetik urun adedi);5728.43;21364.3;417.37;0.0;False;0.0;39878.75;38.9259;0.0;0.6351;2.0748;0.3812;0.8779;34.9568;29.9498;0.7902;2025;;;2024;official_verified;11066.75;0.7954;163;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2024Q2;SYN-FRM-000002;2024Q2;2024;2;train;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;78625.89;birim/ceyrek (sentetik urun adedi);9331.32;34591.15;586.3;0.0;False;0.0;52779.76;49.3002;0.0;1.4799;2.6399;0.893;0.7126;43.5748;39.506;0.7902;2025;;;2024;official_verified;15373.75;0.8574;31;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2024Q3;SYN-FRM-000002;2024Q3;2024;3;train;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;67768.6;birim/ceyrek (sentetik urun adedi);9295.51;34138.36;694.67;0.0;False;0.0;42231.07;33.5602;0.3257;1.1486;1.72;0.6021;0.0;29.7637;34.5151;0.7902;2025;;;2024;official_verified;9583.18;0.7172;358;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2024Q4;SYN-FRM-000002;2024Q4;2024;4;train;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;51977.84;birim/ceyrek (sentetik urun adedi);6177.53;24231.77;1132.35;0.0;False;0.0;32791.25;30.3628;0.971;0.7117;2.0775;0.0;0.1496;26.453;26.633;0.7902;2025;;;2024;official_verified;9886.74;0.8123;91;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2025Q1;SYN-FRM-000002;2025Q1;2025;1;train;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;61091.06;birim/ceyrek (sentetik urun adedi);7216.17;27972.68;1462.82;0.0;False;0.0;38871.72;36.7167;0.0;1.5674;2.3853;0.5188;0.1614;32.0838;33.1355;0.7902;2025;41.8503;ERP / onceki denetim kaydi (sentetik);2025;official_verified;15229.62;0.8228;366;0;;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2025Q2;SYN-FRM-000002;2025Q2;2025;2;train;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;69207.63;birim/ceyrek (sentetik urun adedi);;;1896.65;0.0;False;0.0;;53.1999;0.0001;2.2202;2.1695;1.1783;0.5948;47.0371;37.0071;0.7902;2025;;;2025;official_verified;23731.89;0.448;301;3;"import_qty;export_qty;external_evidence_tonnage";dusuk;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2025Q3;SYN-FRM-000002;2025Q3;2025;3;valid;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;57438.27;birim/ceyrek (sentetik urun adedi);6223.81;25140.09;1340.49;0.0;False;0.0;37181.5;36.5014;0.0;1.632;1.2117;0.0984;0.3436;33.2157;28.9705;0.7902;2025;;;2025;official_verified;10639.61;0.7316;292;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2025Q4;SYN-FRM-000002;2025Q4;2025;4;valid;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;44295.63;birim/ceyrek (sentetik urun adedi);5911.76;17992.66;361.19;0.0;False;0.0;31853.54;36.6765;0.1923;0.8086;2.4498;0.4461;0.0;32.7796;25.9169;0.7902;2025;;;2025;official_verified;12882.91;0.8672;136;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2026Q1;SYN-FRM-000002;2026Q1;2026;1;test;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;59598.38;birim/ceyrek (sentetik urun adedi);7172.07;23083.38;903.84;0.0;False;0.0;42783.24;48.1668;0.0;1.2108;2.3444;0.166;0.3309;44.1146;33.433;0.7902;2025;;;2026;official_verified;15707.91;0.8552;13;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000002-2026Q2;SYN-FRM-000002;2026Q2;2026;2;test;gida_icecek;kucuk;Hatay;C10-C11;Gida ve icecek urunleri;plastik;88539.44;birim/ceyrek (sentetik urun adedi);;;1836.42;0.0;False;0.0;;60.7731;0.4277;1.6277;3.2318;0.5722;0.5105;54.4033;48.3267;0.7902;2025;61.8375;ERP / onceki denetim kaydi (sentetik);2026;official_verified;27691.27;0.6344;187;2;"import_qty;export_qty";orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2023Q1;SYN-FRM-000003;2023Q1;2023;1;history;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;44229.9;birim/ceyrek (sentetik urun adedi);12668.74;34750.85;734.2;0.0;False;0.0;21413.59;83.9428;0.974;3.1483;0.3032;0.0001;0.0001;79.5171;49.3962;0.7444;2023;;;2023;history_not_priced;;0.8204;24;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2023Q2;SYN-FRM-000003;2023Q2;2023;2;history;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;32956.06;birim/ceyrek (sentetik urun adedi);7558.27;25169.32;676.5;0.0;False;0.0;14668.5;38.96;0.2895;1.8629;0.1798;0.0;0.7384;35.8893;30.46;0.7444;2023;;;2023;history_not_priced;;0.8158;145;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2023Q3;SYN-FRM-000003;2023Q3;2023;3;history;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;43240.58;birim/ceyrek (sentetik urun adedi);7011.61;32251.27;2970.33;0.0;False;0.0;15030.59;38.8684;0.65;1.7129;0.0857;0.8322;0.3289;35.2587;31.7706;0.7444;2023;;;2023;history_not_priced;;0.7363;159;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2023Q4;SYN-FRM-000003;2023Q4;2023;4;history;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;55376.24;birim/ceyrek (sentetik urun adedi);12446.85;44298.03;99.54;0.0;False;0.0;23425.52;70.3752;1.8734;4.8341;0.0001;0.0001;0.0001;63.6674;49.7263;0.7444;2023;;;2023;history_not_priced;;0.6907;386;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2024Q1;SYN-FRM-000003;2024Q1;2024;1;train;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;42979.98;birim/ceyrek (sentetik urun adedi);8554.02;33867.34;1159.33;0.0;False;0.0;16507.33;51.1268;1.0575;2.0578;0.0;0.0;1.0251;46.9863;35.1157;0.7444;2023;55.9966;ERP / onceki denetim kaydi (sentetik);2024;official_verified;12958.22;0.8325;331;0;;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2024Q2;SYN-FRM-000003;2024Q2;2024;2;train;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;40399.16;birim/ceyrek (sentetik urun adedi);11073.85;33091.85;2092.24;0.0;False;0.0;16288.91;50.4078;0.0;3.3218;1.0195;0.0;0.3957;45.6707;33.8147;0.7444;2023;;;2024;official_verified;10108.71;0.7089;340;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2024Q3;SYN-FRM-000003;2024Q3;2024;3;train;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;52598.55;birim/ceyrek (sentetik urun adedi);15583.22;43404.95;418.05;0.0;False;0.0;24358.77;60.1489;1.4211;2.2101;0.2788;0.3547;1.0202;54.864;55.1161;0.7444;2023;;;2024;official_verified;16875.36;0.749;290;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2024Q4;SYN-FRM-000003;2024Q4;2024;4;train;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;63367.13;birim/ceyrek (sentetik urun adedi);17270.39;51301.72;296.53;0.0;False;0.0;29039.27;79.5487;0.0001;2.8966;0.2666;0.0001;0.0001;76.3853;58.0898;0.7444;2023;;;2024;official_verified;6011.18;0.7326;204;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2025Q1;SYN-FRM-000003;2025Q1;2025;1;train;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;50276.84;birim/ceyrek (sentetik urun adedi);12196.79;41445.98;1996.64;0.0;False;0.0;19031.01;51.8938;0.5818;2.9762;0.4094;0.0001;0.0001;47.9263;39.398;0.7444;2023;;;2025;official_verified;12458.14;0.8176;62;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2025Q2;SYN-FRM-000003;2025Q2;2025;2;train;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;42625.9;birim/ceyrek (sentetik urun adedi);11661.19;40434.61;2040.49;0.0;False;0.0;11811.98;32.4759;0.3179;1.5869;0.238;0.2246;0.0;30.1085;24.2199;0.7444;2023;;;2025;official_verified;8244.05;0.8211;121;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2025Q3;SYN-FRM-000003;2025Q3;2025;3;valid;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;49519.43;birim/ceyrek (sentetik urun adedi);16251.15;49756.11;73.22;0.0;False;0.0;15941.25;56.0076;0.2059;2.2361;0.0001;0.0001;0.0001;53.5654;33.9294;0.7444;2023;;;2025;official_verified;7212.21;0.8006;102;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2025Q4;SYN-FRM-000003;2025Q4;2025;4;valid;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;55248.23;birim/ceyrek (sentetik urun adedi);17738.31;56329.44;647.62;0.0;False;0.0;16009.48;40.1723;0.1225;2.5345;0.0;0.0;0.0;37.5151;32.0251;0.7444;2023;;;2025;official_verified;7542.39;0.7842;147;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2026Q1;SYN-FRM-000003;2026Q1;2026;1;test;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;45170.93;birim/ceyrek (sentetik urun adedi);11768.76;45448.55;3731.19;0.0;False;0.0;7759.94;21.2124;0.0;1.1361;0.1989;0.0;0.4758;19.4016;15.9363;0.7444;2023;;;2026;official_verified;8212.13;0.8327;70;1;external_evidence_tonnage;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000003-2026Q2;SYN-FRM-000003;2026Q2;2026;2;test;tekstil;kucuk;Kayseri;C13-C14;Tekstil ve hazir giyim;ahsap;;birim/ceyrek (sentetik urun adedi);7962.27;37453.94;865.72;0.0;False;0.0;;14.8061;0.3102;0.6266;0.1381;0.0;0.0;13.7312;12.6916;0.7444;2023;;;2026;official_verified;4695.22;0.6086;340;2;"production_qty;external_evidence_tonnage";orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000004-2023Q1;SYN-FRM-000004;2023Q1;2023;1;history;kimya_boya;mikro;Istanbul;C20.3;Kimyasal urunler ve boya;ahsap;14361.0;birim/ceyrek (sentetik urun adedi);;;245.25;0.0;False;0.0;;33.3352;1.938;1.0325;0.0053;0.5339;0.0;29.8255;15.512;0.3638;2024;;;2023;history_not_priced;;0.3383;332;3;"import_qty;export_qty;external_evidence_tonnage";dusuk;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000004-2023Q2;SYN-FRM-000004;2023Q2;2023;2;history;kimya_boya;mikro;Istanbul;C20.3;Kimyasal urunler ve boya;ahsap;18363.58;birim/ceyrek (sentetik urun adedi);8360.1;4024.71;525.05;0.0;False;0.0;22173.93;51.5734;1.0372;1.6871;0.0001;0.7384;0.0001;48.1105;19.2389;0.3638;2024;;;2023;history_not_priced;;0.6224;363;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000004-2023Q3;SYN-FRM-000004;2023Q3;2023;3;history;kimya_boya;mikro;Istanbul;C20.3;Kimyasal urunler ve boya;ahsap;14801.86;birim/ceyrek (sentetik urun adedi);7780.88;4068.49;168.13;0.0;False;0.0;18346.12;54.098;3.2107;1.8288;0.0001;0.0001;0.0001;49.0584;16.0035;0.3638;2024;;;2023;history_not_priced;;0.6724;215;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000004-2023Q4;SYN-FRM-000004;2023Q4;2023;4;history;kimya_boya;mikro;Istanbul;C20.3;Kimyasal urunler ve boya;ahsap;13606.53;birim/ceyrek (sentetik urun adedi);5617.7;3777.39;53.09;0.0;False;0.0;15393.75;37.4106;1.8951;1.2776;0.1207;0.0;0.3037;33.8135;14.1331;0.3638;2024;41.3207;ERP / onceki denetim kaydi (sentetik);2023;history_not_priced;;0.8532;95;0;;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000004-2024Q1;SYN-FRM-000004;2024Q1;2024;1;train;kimya_boya;mikro;Istanbul;C20.3;Kimyasal urunler ve boya;ahsap;17610.2;birim/ceyrek (sentetik urun adedi);8991.25;5195.21;555.51;0.0;False;0.0;20850.73;62.3363;3.0553;1.9308;0.0001;1.5867;0.2437;55.5197;18.2965;0.3638;2024;49.1923;ERP / onceki denetim kaydi (sentetik);2024;official_verified;24492.82;0.843;62;0;;yuksek;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
SYN-FRM-000004-2024Q2;SYN-FRM-000004;2024Q2;2024;2;train;kimya_boya;mikro;Istanbul;C20.3;Kimyasal urunler ve boya;ahsap;17996.25;birim/ceyrek (sentetik urun adedi);10160.21;5639.97;316.71;0.0;False;0.0;22199.78;60.6816;1.7689;2.6042;0.0001;0.8747;0.1061;55.3276;19.7147;0.3638;2024;;;2024;official_verified;16633.58;0.6483;211;1;external_evidence_tonnage;orta;synthetic;observations.build_latent_panel + anomalies.inject + observations.finalize_observations;"SYN-GEN-01;SYN-BOM-01"
