sku_id;firm_id;pack_spec_id;product_group;packaging_role;gekap_material;pack_format;gtip6_context;gtip6_description;gtip_note;sku_volume_share;unit_pack_weight_g_true;unit_pack_weight_g_recorded;weight_matrix_status;weight_matrix_vintage_year;weight_dist_p10_g;weight_dist_p50_g;weight_dist_p90_g;weight_distribution;data_source_type;source_ids
SYN-FRM-000001-SKU11;SYN-FRM-000001;PS-003;Gazli icecek;birincil;cam;Cam sise 0,33 L;220210;Ilave sekerli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.046699;181.187;185.309;guncel;2025;180.0;215.0;260.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000002-SKU01;SYN-FRM-000002;PS-005;Meyve suyu;birincil;kompozit;Karton kutu 1 L;200980;Diger meyve ve sebze sulari;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.102953;30.506;30.75;guncel;2025;26.0;30.0;36.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000002-SKU02;SYN-FRM-000002;PS-003;Gazli icecek;birincil;cam;Cam sise 0,33 L;220210;Ilave sekerli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.13013;240.684;237.802;guncel;2025;180.0;215.0;260.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000002-SKU03;SYN-FRM-000002;PS-008;Kuru gida ve biskuvi;birincil;kagit_karton;Karton kutu;190531;Tatli biskuviler;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.182266;146.82;139.018;guncel;2025;30.0;52.0;90.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000002-SKU04;SYN-FRM-000002;PS-006;Salca ve konserve;birincil;metal;Teneke kutu 400 g;200290;Domates - sirke disi hazirlanmis;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.167433;59.262;58.014;guncel;2025;45.0;56.0;70.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000002-SKU05;SYN-FRM-000002;PS-001;Ambalajli su;birincil;plastik;PET sise 0,5 L;220110;Mineral sular ve gazli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.050662;15.389;16.107;guncel;2025;12.0;16.0;22.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000002-SKU06;SYN-FRM-000002;PS-030;Streç ve bant;ucuncul;plastik;Strec film ve bantlama;392010;Etilen polimerlerinden plakalar ve filmler;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.011915;80.683;80.415;guncel;2025;40.0;90.0;180.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000002-SKU07;SYN-FRM-000002;PS-002;Ambalajli su;birincil;plastik;PET sise 1,5 L;220110;Mineral sular ve gazli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.044013;35.019;34.62;guncel;2025;28.0;34.0;42.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000002-SKU08;SYN-FRM-000002;PS-007;Recel ve turşu;birincil;cam;Cam kavanoz 500 ml;200799;Recel jel ve marmelat;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.062137;299.568;293.249;guncel;2025;240.0;295.0;360.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000002-SKU09;SYN-FRM-000002;PS-029;Palet;ucuncul;ahsap;EUR tipi ahsap palet;441510;Ahsaptan sandik kutu kafes ve palet;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.042879;20441.649;21036.703;guncel;2025;20000.0;23000.0;27000.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000002-SKU10;SYN-FRM-000002;PS-004;Gazli icecek;birincil;metal;Aluminyum kutu 0,33 L;220210;Ilave sekerli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.203373;11.595;11.99;guncel;2025;12.0;13.5;16.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000002-SKU11;SYN-FRM-000002;PS-028;Tasima kolisi;ikincil;kagit_karton;Oluklu mukavva koli standart;481910;Oluklu kagit veya kartondan kutular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.002239;400.589;403.214;guncel;2025;250.0;350.0;500.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000003-SKU01;SYN-FRM-000003;PS-018;Hazir giyim;birincil;plastik;LDPE poset;610910;Pamuklu tisort;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.187853;23.873;23.829;guncel;2023;8.0;14.0;25.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000003-SKU02;SYN-FRM-000003;PS-028;Tasima kolisi;ikincil;kagit_karton;Oluklu mukavva koli standart;481910;Oluklu kagit veya kartondan kutular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.257365;483.379;476.268;guncel;2023;250.0;350.0;500.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000003-SKU03;SYN-FRM-000003;PS-030;Streç ve bant;ucuncul;plastik;Strec film ve bantlama;392010;Etilen polimerlerinden plakalar ve filmler;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.18479;136.168;136.554;guncel;2023;40.0;90.0;180.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000003-SKU04;SYN-FRM-000003;PS-019;Hazir giyim kutu;ikincil;kagit_karton;Karton kutu;620342;Pamuklu pantolon;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.254984;34.242;34.221;guncel;2023;40.0;80.0;150.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000003-SKU05;SYN-FRM-000003;PS-029;Palet;ucuncul;ahsap;EUR tipi ahsap palet;441510;Ahsaptan sandik kutu kafes ve palet;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.115008;24192.01;23333.43;guncel;2023;20000.0;23000.0;27000.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000004-SKU01;SYN-FRM-000004;PS-030;Streç ve bant;ucuncul;plastik;Strec film ve bantlama;392010;Etilen polimerlerinden plakalar ve filmler;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.626853;164.516;158.916;guncel;2024;40.0;90.0;180.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000004-SKU02;SYN-FRM-000004;PS-027;Endustriyel kimyasal;birincil;plastik;HDPE bidon 5 L;382499;Kimyasal musttahzarlar;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.005006;432.543;443.477;guncel;2024;250.0;380.0;600.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000004-SKU03;SYN-FRM-000004;PS-029;Palet;ucuncul;ahsap;EUR tipi ahsap palet;441510;Ahsaptan sandik kutu kafes ve palet;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.092425;24800.043;24562.368;guncel;2024;20000.0;23000.0;27000.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000004-SKU04;SYN-FRM-000004;PS-028;Tasima kolisi;ikincil;kagit_karton;Oluklu mukavva koli standart;481910;Oluklu kagit veya kartondan kutular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.257137;308.915;310.615;guncel;2024;250.0;350.0;500.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000004-SKU05;SYN-FRM-000004;PS-026;Boya;birincil;metal;Metal kova 2,5 L;320810;Boyalar - susuz ortam;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.018579;270.21;269.638;guncel;2024;250.0;380.0;600.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000005-SKU01;SYN-FRM-000005;PS-014;Camasir suyu;birincil;plastik;HDPE sise 2 L;340290;Yuzey aktif musttahzarlar - diger;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.350259;108.784;108.364;guncel;2023;70.0;90.0;120.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000005-SKU02;SYN-FRM-000005;PS-015;Toz deterjan;birincil;kagit_karton;Karton kutu 3 kg;340220;Yuzey aktif musttahzarlar - perakende;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.2168;139.647;141.889;guncel;2023;150.0;205.0;280.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000005-SKU03;SYN-FRM-000005;PS-028;Tasima kolisi;ikincil;kagit_karton;Oluklu mukavva koli standart;481910;Oluklu kagit veya kartondan kutular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.0206;432.866;422.582;guncel;2023;250.0;350.0;500.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000005-SKU04;SYN-FRM-000005;PS-029;Palet;ucuncul;ahsap;EUR tipi ahsap palet;441510;Ahsaptan sandik kutu kafes ve palet;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.145962;21376.242;20977.224;guncel;2023;20000.0;23000.0;27000.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000005-SKU05;SYN-FRM-000005;PS-030;Streç ve bant;ucuncul;plastik;Strec film ve bantlama;392010;Etilen polimerlerinden plakalar ve filmler;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.266378;216.939;215.656;guncel;2023;40.0;90.0;180.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000006-SKU01;SYN-FRM-000006;PS-001;Ambalajli su;birincil;plastik;PET sise 0,5 L;220110;Mineral sular ve gazli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.085367;20.036;20.075;guncel;2025;12.0;16.0;22.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000006-SKU02;SYN-FRM-000006;PS-028;Tasima kolisi;ikincil;kagit_karton;Oluklu mukavva koli standart;481910;Oluklu kagit veya kartondan kutular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.201852;427.364;419.318;guncel;2025;250.0;350.0;500.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000006-SKU03;SYN-FRM-000006;PS-007;Recel ve turşu;birincil;cam;Cam kavanoz 500 ml;200799;Recel jel ve marmelat;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.154417;330.33;317.7;guncel;2025;240.0;295.0;360.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000006-SKU04;SYN-FRM-000006;PS-029;Palet;ucuncul;ahsap;EUR tipi ahsap palet;441510;Ahsaptan sandik kutu kafes ve palet;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.12046;22310.321;21747.744;guncel;2025;20000.0;23000.0;27000.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000006-SKU05;SYN-FRM-000006;PS-008;Kuru gida ve biskuvi;birincil;kagit_karton;Karton kutu;190531;Tatli biskuviler;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.203044;74.989;76.311;guncel;2025;30.0;52.0;90.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000006-SKU06;SYN-FRM-000006;PS-006;Salca ve konserve;birincil;metal;Teneke kutu 400 g;200290;Domates - sirke disi hazirlanmis;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.053305;82.367;81.141;guncel;2025;45.0;56.0;70.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000006-SKU07;SYN-FRM-000006;PS-002;Ambalajli su;birincil;plastik;PET sise 1,5 L;220110;Mineral sular ve gazli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.074165;36.796;35.2;guncel;2025;28.0;34.0;42.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000006-SKU08;SYN-FRM-000006;PS-030;Streç ve bant;ucuncul;plastik;Strec film ve bantlama;392010;Etilen polimerlerinden plakalar ve filmler;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.058072;21.433;21.899;guncel;2025;40.0;90.0;180.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000006-SKU09;SYN-FRM-000006;PS-004;Gazli icecek;birincil;metal;Aluminyum kutu 0,33 L;220210;Ilave sekerli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.049318;13.369;13.18;guncel;2025;12.0;13.5;16.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000007-SKU01;SYN-FRM-000007;PS-029;Palet;ucuncul;ahsap;EUR tipi ahsap palet;441510;Ahsaptan sandik kutu kafes ve palet;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.247245;23353.44;28337.022;eskimis;2020;20000.0;23000.0;27000.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000007-SKU02;SYN-FRM-000007;PS-006;Salca ve konserve;birincil;metal;Teneke kutu 400 g;200290;Domates - sirke disi hazirlanmis;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.323937;54.964;64.607;eskimis;2020;45.0;56.0;70.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000007-SKU03;SYN-FRM-000007;PS-003;Gazli icecek;birincil;cam;Cam sise 0,33 L;220210;Ilave sekerli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.428818;212.033;244.228;eskimis;2020;180.0;215.0;260.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000008-SKU01;SYN-FRM-000008;PS-022;Sivi urun;birincil;metal;Metal bidon 20 L;271019;Petrol yaglari;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.2423;966.957;954.655;guncel;2026;400.0;700.0;1200.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000008-SKU02;SYN-FRM-000008;PS-030;Streç ve bant;ucuncul;plastik;Strec film ve bantlama;392010;Etilen polimerlerinden plakalar ve filmler;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.105629;148.622;153.354;guncel;2026;40.0;90.0;180.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000008-SKU03;SYN-FRM-000008;PS-020;Yedek parca;ikincil;kagit_karton;Oluklu mukavva koli;870870;Jantlar ve aksamlari;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.347063;796.672;804.265;guncel;2026;300.0;480.0;800.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000008-SKU04;SYN-FRM-000008;PS-028;Tasima kolisi;ikincil;kagit_karton;Oluklu mukavva koli standart;481910;Oluklu kagit veya kartondan kutular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.305008;207.819;214.142;guncel;2026;250.0;350.0;500.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000009-SKU01;SYN-FRM-000009;PS-005;Meyve suyu;birincil;kompozit;Karton kutu 1 L;200980;Diger meyve ve sebze sulari;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.35535;32.131;31.625;guncel;2026;26.0;30.0;36.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000009-SKU02;SYN-FRM-000009;PS-008;Kuru gida ve biskuvi;birincil;kagit_karton;Karton kutu;190531;Tatli biskuviler;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.102984;32.228;31.661;guncel;2026;30.0;52.0;90.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000009-SKU03;SYN-FRM-000009;PS-028;Tasima kolisi;ikincil;kagit_karton;Oluklu mukavva koli standart;481910;Oluklu kagit veya kartondan kutular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.088966;229.613;231.244;guncel;2026;250.0;350.0;500.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000009-SKU04;SYN-FRM-000009;PS-003;Gazli icecek;birincil;cam;Cam sise 0,33 L;220210;Ilave sekerli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.093913;214.491;213.268;guncel;2026;180.0;215.0;260.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000009-SKU05;SYN-FRM-000009;PS-002;Ambalajli su;birincil;plastik;PET sise 1,5 L;220110;Mineral sular ve gazli sular;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.013696;25.421;24.817;guncel;2026;28.0;34.0;42.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
SYN-FRM-000009-SKU06;SYN-FRM-000009;PS-029;Palet;ucuncul;ahsap;EUR tipi ahsap palet;441510;Ahsaptan sandik kutu kafes ve palet;"GTIP yalnizca urun siniflandirma baglamidir; ambalaj agirligi GTIP'ten turetilmemistir";0.345092;20576.464;20482.43;guncel;2026;20000.0;23000.0;27000.0;lognormal(mu=ln(p50), sigma=(ln(p90)-ln(p10))/(2*1.2816));synthetic;"SYN-BOM-01;SYN-GEN-01"
