rate_id;yil;yururluk_baslangic;yururluk_bitis;ana_kategori;alt_kategori;birim;tutar_kurus;tutar_tl;veri_sinifi;source_id;rg_tarih;rg_sayi;notlar
GR-2024-P05;2024;2024-01-01;2024-12-31;PLASTIK AMBALAJ;Digerleri (Poset Haric);kg;400;4,00;official_open_secondary;SRC-003;2023-12-29;32414;Modelde plastik agirlik bazli hesaplamada kullanilan tarife
GR-2024-P06;2024;2024-01-01;2024-12-31;PLASTIK POSET;Plastik poset (plastik alisveris torbalari);adet;60;0,60;official_open_secondary;SRC-003;2023-12-29;32414;Bu dataset kapsaminda modellenmemistir
GR-2024-M01;2024;2024-01-01;2024-12-31;METAL AMBALAJ;Icecek Ambalajlari;adet;18;0,18;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-M02;2024;2024-01-01;2024-12-31;METAL AMBALAJ;Digerleri;kg;470;4,70;official_open_secondary;SRC-003;2023-12-29;32414;Modelde metal agirlik bazli hesaplamada kullanilan tarife
GR-2024-K01;2024;2024-01-01;2024-12-31;KOMPOZIT AMBALAJ;Kagit-Karton Agirlikli Kompozit Icecek Ambalajlari 0,25 litreye kadar;adet;6;0,06;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-K02;2024;2024-01-01;2024-12-31;KOMPOZIT AMBALAJ;Kagit-Karton Agirlikli Kompozit Icecek Ambalajlari 0,2501-0,5 litre arasi;adet;11;0,11;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-K03;2024;2024-01-01;2024-12-31;KOMPOZIT AMBALAJ;Kagit-Karton Agirlikli Kompozit Icecek Ambalajlari 0,501 litre uzeri;adet;24;0,24;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-K04;2024;2024-01-01;2024-12-31;KOMPOZIT AMBALAJ;Digerleri;kg;470;4,70;official_open_secondary;SRC-003;2023-12-29;32414;Modelde kompozit agirlik bazli hesaplamada kullanilan tarife
GR-2024-KK1;2024;2024-01-01;2024-12-31;KAGIT KARTON AMBALAJ;Kagit-Karton Ambalaj;kg;190;1,90;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-C01;2024;2024-01-01;2024-12-31;CAM AMBALAJ;Icecek Ambalajlari 0,25 litreye kadar;adet;6;0,06;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-C02;2024;2024-01-01;2024-12-31;CAM AMBALAJ;Icecek Ambalajlari 0,2501-0,5 litre arasi;adet;11;0,11;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-C03;2024;2024-01-01;2024-12-31;CAM AMBALAJ;Icecek Ambalajlari 0,501-1 litre arasi;adet;18;0,18;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-C04;2024;2024-01-01;2024-12-31;CAM AMBALAJ;Icecek Ambalajlari 1,01-5 litre arasi;adet;28;0,28;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-C05;2024;2024-01-01;2024-12-31;CAM AMBALAJ;Icecek Ambalajlari 5,01 litre uzeri;adet;60;0,60;official_open_secondary;SRC-003;2023-12-29;32414;Ikincil kaynak - capraz dogrulandi
GR-2024-C06;2024;2024-01-01;2024-12-31;CAM AMBALAJ;Digerleri;kg;190;1,90;official_open_secondary;SRC-003;2023-12-29;32414;Modelde cam agirlik bazli hesaplamada kullanilan tarife
GR-2024-A01;2024;2024-01-01;2024-12-31;AHSAP AMBALAJ;Ahsap Ambalaj;adet;100;1,00;official_open_secondary;SRC-003;2023-12-29;32414;DIKKAT: Ahsap ambalaj tarifesi ADET bazlidir
